 date,temp_avg,temp_max,temp_min,precip24hr,rh_avg
1/1/06,39.37,45,33.1,,70.54
1/2/06,39.07,45,32,0.9,84.07
1/3/06,39.95,45,36,0.47,85.46
1/4/06,37.7,42.1,35.1,0,72.27
1/5/06,42.67,51.1,37.4,0,75.87
1/6/06,38.47,42.1,33.1,,57
1/7/06,30.76,35.1,23,,51.39
1/8/06,39.2,46,34,,60.58
1/9/06,47.44,57,37,,64.46
1/10/06,42.23,48.9,36,,58.77
1/11/06,45.51,52,35.1,0.37,87.13
1/12/06,47.82,57.9,39,,71.1
1/13/06,44.91,57.9,35.6,,93.89
1/14/06,49.82,60.8,32,0.47,83.04
1/15/06,29.22,33.1,25,,36
1/16/06,26.13,30.9,19.9,,36.75
1/17/06,36.32,50,27,0.03,58.71
1/18/06,48.63,63,36,0.72,67.71
1/19/06,39.42,50,33.1,,53.71
1/20/06,44.92,57,37,,62.42
1/21/06,48.3,59,37,,57.85
1/22/06,37.68,45,30.9,0.03,49.46
1/23/06,40.01,42.8,35.1,1.04,86.92
1/24/06,38.81,46.9,32,0.09,67.73
1/25/06,37.13,41,33.1,,61.83
1/26/06,31.88,36,28,,42.88
1/27/06,32.69,44.1,23,,38.17
1/28/06,42.9,59,30,,47
1/29/06,45.13,55,34,0.13,76.06
1/30/06,47.59,61,37,0,85.76
1/31/06,42.88,45,41,0.01,75.04
2/1/06,39.08,41,35.1,,53.75
2/2/06,43.06,55,32,,68.21
2/3/06,54.48,61,46,0.33,71.5
2/4/06,48.48,59,43,0.26,81.31
2/5/06,41.81,52,36,0,55.54
2/6/06,37.02,42.1,33.1,,39.7
2/7/06,35.06,39.9,30.9,,43.29
2/8/06,31.77,36,27,,43.95
2/9/06,30.14,35.1,25,,43.63
2/10/06,32.75,37.9,27,,42.83
2/11/06,34.41,39.2,32,0.11,68.34
2/12/06,27.45,32,24.1,0.13,77.59
2/13/06,27.53,34,17.1,,58.17
2/14/06,34.1,39.9,26.1,,57.04
2/15/06,39.8,51.1,28.9,,64.17
2/16/06,47.06,60.1,32,,62.08
2/17/06,49.39,57.9,35.1,0,48.27
2/18/06,29.49,36,17.1,0,39.38
2/19/06,22.02,28,15.1,,33.96
2/20/06,30.57,37.9,25,,32.75
2/21/06,35.05,44.1,25,,50.38
2/22/06,34.54,37.9,28.9,0,78.35
2/23/06,38.79,45,35.6,0.03,79.72
2/24/06,36.24,39.9,30.9,,35.17
2/25/06,38.3,52,26.1,,36.96
2/26/06,26.78,33.1,21.2,,32.63
2/27/06,26.02,32,19,0,41.42
2/28/06,30.73,36,24.1,,36.81
3/1/06,37.44,46.4,30,,31
3/2/06,33.14,36,30,0.17,79.53
3/3/06,31.57,37.9,27,0,48.5
3/4/06,35.57,44.1,27,,41.08
3/5/06,39.76,50,30.2,,34.25
3/6/06,38.61,46,32,,35.29
3/7/06,37.77,45,30,,36.54
3/8/06,39.51,48.9,30,,37.92
3/9/06,51.06,62.1,42.1,,54.96
3/10/06,65.15,75.9,55.9,0,49.38
3/11/06,56.25,66,46,,52.92
3/12/06,51.72,57,48.2,0.47,83.72
3/13/06,62.8,77,46,,71.74
3/14/06,55.06,68,39.9,0.02,43.79
3/15/06,41.44,46.9,37,0,36.59
3/16/06,44.18,51.1,35.1,,27.54
3/17/06,41.8,48.9,36,,31.79
3/18/06,36.63,44.1,30.9,,28.83
3/19/06,37.57,45,28,,34.75
3/20/06,36.99,44.1,30,,40.29
3/21/06,33.6,39.9,25,,36.33
3/22/06,39.04,45,32,,38.48
3/23/06,43.57,51.1,37.9,,40.54
3/24/06,44.38,52,37,,46.29
3/25/06,42.4,46,39,0.04,71.04
3/26/06,43.17,50,36,0.19,64.78
3/27/06,48.29,57.9,39,,34.21
3/28/06,48.2,55.9,41,,44.75
3/29/06,50.35,62.1,39,,51.42
3/30/06,53.68,66.9,39,,51.79
3/31/06,58.89,75,44.1,,47.46
4/1/06,63.68,73,55.9,0.01,55.48
4/2/06,57.33,66,50,,39.36
4/3/06,51.06,57,44.1,0.32,72.17
4/4/06,50.3,55.9,46,0,41.93
4/5/06,43.06,48.9,33.8,0.01,53.03
4/6/06,48.26,55,43,,46.17
4/7/06,54.58,66.9,43,0.04,68.86
4/8/06,47.66,63,39,0.83,79.16
4/9/06,46.28,55.9,34,,38.83
4/10/06,51.03,63,41,,39.17
4/11/06,55.17,70,42.1,,49.25
4/12/06,58.34,71.1,45,0,55.67
4/13/06,63.96,82,54,0,55.2
4/14/06,60.04,66.9,53.1,0,72.17
4/15/06,68.27,79,55.4,,58.4
4/16/06,61.37,68,53.1,,36.25
4/17/06,56.11,64.9,48,,40.83
4/18/06,60.09,72,48,,42.63
4/19/06,66.2,77,54,,33.92
4/20/06,68.89,82.9,57,,28.21
4/21/06,55.99,64.9,46.4,0.13,61.73
4/22/06,50.69,57.9,45,1.66,90.63
4/23/06,58.6,66,53.1,0.36,83.29
4/24/06,59.76,66.9,53.6,0.29,68.32
4/25/06,60.78,72,48,0.01,55.21
4/26/06,50.27,59,41,0.06,47.46
4/27/06,59.28,71.6,46,,44.6
4/28/06,56.4,64,48.9,,33.04
4/29/06,53.93,64,44.1,,42.71
4/30/06,55.38,68,42.1,,37.26
5/1/06,58.64,69.1,48.9,,32.92
5/2/06,58.2,72,46.9,,46.21
5/3/06,61.9,75,50,,51.85
5/4/06,68.75,81,55.9,,43.38
5/5/06,70.6,80.1,61,,48.29
5/6/06,66.59,78.1,55.9,,45.54
5/7/06,57.12,68,48,,36.79
5/8/06,56.3,63,52,0,41.25
5/9/06,60.49,70,53.1,,35.04
5/10/06,64.24,77,54,,48.71
5/11/06,62.05,71.1,55,0.42,75.28
5/12/06,63.91,72,55,0.24,62.85
5/13/06,62.29,71.1,55,0.33,72.94
5/14/06,58.85,66,54,,71.94
5/15/06,57.02,66.9,51.1,0.53,79.03
5/16/06,60.13,66.9,55,0.26,68.21
5/17/06,62.45,71.1,54,,61.13
5/18/06,63.93,75,55,0,62.57
5/19/06,58.64,64,54,0.35,62.66
5/20/06,61.85,70,53.1,0,47.63
5/21/06,61.47,71.1,50,0,41.54
5/22/06,56.96,64.9,50,,41.58
5/23/06,57.51,69.1,46,,39.3
5/24/06,63.58,73.4,52,,37.33
5/25/06,66.79,77,57,0,52.63
5/26/06,70.42,79,61,0.03,75.07
5/27/06,74.72,82.9,64.9,0,63.31
5/28/06,74.6,86,63,,59.54
5/29/06,76.52,91,62.6,,63.69
5/30/06,79.97,91.9,70,,60.75
5/31/06,75.01,84.9,66,,66.1
6/1/06,77.53,91,66.9,0.09,70.36
6/2/06,74,81,69.1,1.92,80.25
6/3/06,68.75,73.4,63,0.99,77.97
6/4/06,65.84,72,60.1,0,63.96
6/5/06,65.76,73,60.1,0,71
6/6/06,66.75,75.9,59,,69.79
6/7/06,64.74,69.1,60.8,0.06,75.62
6/8/06,66.36,75,59,0.34,71.4
6/9/06,67.28,75.9,60.8,0.27,65.76
6/10/06,64.55,71.1,60.1,,49.42
6/11/06,63.91,73,54,,42.79
6/12/06,65.18,71.1,57.9,,60.86
6/13/06,70.47,81,61,,55.83
6/14/06,68.7,75.9,64,0.04,77.17
6/15/06,71.51,81,63,0,49.04
6/16/06,74.45,84,59,,37.67
6/17/06,75.58,86,63,,52.71
6/18/06,79.29,91,66,,56.17
6/19/06,79.17,88,72,0,62.63
6/20/06,77.45,86,71.1,0,61.96
6/21/06,77.61,87.1,69.1,,49.29
6/22/06,80.12,90,71.1,0,61.58
6/23/06,78.35,86,72,0.04,69.75
6/24/06,74.72,82,71.1,0.16,82.98
6/25/06,72.56,75.9,69.8,0.12,85.45
6/26/06,74.69,78.1,71.6,0.78,86.15
6/27/06,76.68,82,73,0.03,78.63
6/28/06,78.24,86,71.1,2.55,74.1
6/29/06,76.79,86,66.9,0.53,67.19
6/30/06,73.88,82,64.9,,52.17
7/1/06,76.37,86,64,,54.09
7/2/06,78.94,91.9,70,0.34,65.41
7/3/06,79.38,88,72,0.01,69.04
7/4/06,79.05,91,71.6,0,72.79
7/5/06,74.86,80.1,71.6,0.14,81.19
7/6/06,71.34,77,66,1.15,66.82
7/7/06,71.76,80.1,62.1,,55.75
7/8/06,74.62,82,64.9,,62.63
7/9/06,74.96,82,66.9,,62.25
7/10/06,76.59,84.9,68,,67.46
7/11/06,81.53,90,73,,65.38
7/12/06,80.95,89.1,75.9,0.02,72.67
7/13/06,79.06,86,73,0.06,71.79
7/14/06,79.21,89.1,70,,69.09
7/15/06,75.69,82.9,70,0.03,82.66
7/16/06,83.52,93,73,,58.33
7/17/06,86.67,97,73.9,,54.04
7/18/06,85.18,97,72,0.33,60.4
7/19/06,79.78,90,72,0,66.13
7/20/06,79.54,88,73.4,,66.97
7/21/06,81.52,89.1,75.9,0.05,72.7
7/22/06,76.44,84.2,73,0.96,84.66
7/23/06,74.65,81,70,0,66.64
7/24/06,77.01,86,66,,56.3
7/25/06,77.02,84,71.1,,68.92
7/26/06,78.49,88,70,,72.94
7/27/06,80.63,93,73.4,0.37,72.37
7/28/06,81.01,91.9,73,0.43,72.37
7/29/06,82.9,91,73.9,,61.42
7/30/06,84.59,90,77,,59.58
7/31/06,84.46,93,77,,59.96
8/1/06,87.74,97,79,,65.57
8/2/06,89.53,97,82,,60.25
8/3/06,89.28,97,82,,59.1
8/4/06,84.2,89.1,79,,56
8/5/06,81.04,88,72,,42.38
8/6/06,79.74,90,71.1,,52.17
8/7/06,80.73,88,73.9,0,70.46
8/8/06,80.31,87.1,73.9,,50.71
8/9/06,75.7,82.9,66.9,,48.71
8/10/06,75.99,82.9,70,0.03,69.06
8/11/06,74.35,80.1,68,,48.92
8/12/06,72.03,79,63,,38.46
8/13/06,72.41,82,61,,41.21
8/14/06,77.26,88,66.9,,59.38
8/15/06,79.58,87.1,75,,59.25
8/16/06,78.72,87.1,70,,47.04
8/17/06,78.22,89.1,69.1,,52.63
8/18/06,76.3,86,69.1,,63.21
